% Model,finer.mph
% Version,COMSOL 5.5.0.359
% Date,"Aug 17 2024, 19:53"
% Dimension,3
% Nodes,976
% Expressions,1
% Description,Dependent variable
% Length unit,m
% x,y,z,Tcell (kg/m^3) @ t=0
5.629004503429361E-4,5.2599671825976E-4,7.473153505364674E-4,399.9999999999999
0,8.316703130779203E-4,8.350101946467354E-4,400
0,0,0,399.9999999999999
0,0,0.0013160532032375843,399.99999999999994
8.118261105923069E-4,8.17097114843844E-4,0,399.9999999999999
0,0.0013160532032372532,0,399.99999999999994
0.0013140023386321049,0,0,399.99999999999994
9.172098941651121E-4,0,8.820891131829785E-4,399.9999999999999
5.166668154781497E-4,3.6262215329708016E-4,0.0021150472683995176,399.9999999999999
5.224273239078965E-4,0,0.00252741792330089,399.9999999999999
0,0,0.0022863039324248725,399.9999999999999
7.662444615995179E-4,0,0.001740743963270462,399.99999999999994
0,5.845459157392337E-4,0.0017110546889071072,399.9999999999999
4.7237071951008027E-4,0.0011436527940506542,5.931416047565062E-4,399.99999999999994
0,0.0016659240856527822,6.79215970836947E-4,399.99999999999994
0,0.0012571204505701496,0.0014313704758078742,399.9999999999999
0,3.305067523757287E-4,0.0026289956563121395,399.9999999999999
0,6.458144272107987E-4,0.0023458902784696174,399.99999999999994
4.1598872888334144E-4,4.1598872888511514E-4,0.002941752327250302,288.8888888888888
0,0,0.003,160
5.840065828115351E-4,0.001709025178153089,0,399.9999999999999
6.558268871649882E-4,9.675147670755336E-4,0.0017977999812744292,399.99999999999994
7.150079735920074E-4,5.068330106411989E-4,0.0013949206409380119,399.99999999999994
4.6536318350776904E-4,0.0019381381015299444,4.952132838828412E-4,399.99999999999994
0,0.002286303932424668,0,400
0,0.0023444833347474317,6.633834590831869E-4,399.9999999999999
0,0.002647387551756707,3.2536676365771297E-4,399.99999999999994
3.316038865951102E-4,0.002631044186789538,0,399.99999999999994
5.270947491939753E-4,0.0024927878083659495,5.652800464537086E-4,399.9999999999999
0.0015128305008196659,4.957798732164246E-4,4.786362323658653E-4,399.99999999999994
0.0015382766299052897,4.8720529157920164E-4,0.001065071096520219,399.9999999999999
0.0017532418696775834,0,5.96180188110611E-4,400
0.0010441968317942854,9.36975910830893E-4,5.762888993708038E-4,400
0.0012335547631992924,0.00145711961432509,0,399.9999999999999
9.367328990737057E-4,0.0015485054272627332,5.152189368403762E-4,399.99999999999994
0.002285023809005938,0,0,399.9999999999999
0.002352691957580576,0,6.396498640027842E-4,400
0.002050502247455568,4.1558491699702696E-4,6.240733745395023E-4,399.99999999999994
0.001659052661097761,6.787124235420396E-4,0,399.99999999999994
0.0015031857341420282,0.0012479062954369267,4.100224054029218E-4,399.99999999999994
6.517361048208947E-4,0.0023435619511744075,0,399.9999999999999
0.0010957198402736924,0,0.0023515704498402795,399.99999999999994
0.001666936696994332,0,0.001456507640401857,399.99999999999994
0.0022111958692144864,0,0.00108089577410904,399.99999999999994
0.0013505151382387569,5.160454746434755E-4,0.002000867201061861,399.9999999999999
0.0015403850361144608,0,0.0020390303611430116,399.99999999999994
5.882251903117208E-4,0,0.002941716202189574,109.09090909090908
8.619295662554915E-4,4.7412246894789316E-4,0.0028341286680836097,233.3333333333333
0.0011501002549395645,0,0.0027707836293211882,160
6.465256399723151E-4,5.829158540399644E-4,0.002470965496197092,399.9999999999999
0,0.0011283919450639575,0.002099440702866746,399.9999999999999
0,0.001593538983067744,0.0019264059216210373,399.99999999999994
5.923026914456249E-4,0.0010452646114600978,0.0022938885794127747,399.99999999999994
9.895073233833257E-4,0.001009123348607439,0.0026462322884180213,249.99999999999997
0.0011129218185843347,7.521155508417481E-4,0.0023076427747995057,399.99999999999994
4.65737297931403E-4,9.032073094655549E-4,0.0028226415510021014,200
0,5.883492095274878E-4,0.0029416914213085702,133.33333333333331
5.720051344491468E-4,0.0017178478832597147,0.0010967856562679144,399.9999999999999
0,0.0018420752877108012,0.0015162393158709413,399.9999999999999
0,0.0022598112609923727,0.0011060593396540136,399.99999999999994
4.4597823561426603E-4,0.0023391475948358075,0.0010228901009492852,399.99999999999994
5.474148659063886E-4,0.0014466063408640074,0.002036628146672297,400
6.664615042865502E-4,0.0014630042338806867,0.0015454889417985391,399.99999999999994
4.94861187649596E-4,0.0018286367276819486,0.0017568995668356244,399.99999999999994
2.8116009473477046E-4,0.0021964871295991444,0.0015300585759109291,399.99999999999994
0,0.0011504327701370054,0.0027706455913685886,171.4285714285714
0,0.0024941662600086872,0.0016670699350841557,199.99999999999994
0,0.002121725141118583,0.002120915468565944,228.57142857142853
0,0.0016680218378572424,0.002493529804516391,171.4285714285714
0,0.0027710843373360983,0.0011493754989618677,228.57142857142853
4.4339505340672627E-4,0.002611669071275294,0.0014080431416538667,228.57142857142853
0,0.003,0,199.99999999999997
3.7151241273365016E-4,0.0029504000833256126,3.963809726728069E-4,199.99999999999997
0,0.002941849566729793,5.877930072734083E-4,199.99999999999994
5.882251903119831E-4,0.002941716202189522,0,239.99999999999997
9.440367356778479E-4,0.0022531428833868607,4.339615797976123E-4,400
0.0011423307411175217,0.002114048306552919,0,399.9999999999999
0.001960892064453837,3.965513553916379E-4,0.0016609834410780443,399.99999999999994
0.0021085055792600988,5.559064652295108E-4,0.0012237066176269888,399.99999999999994
0.0026472187621762195,3.258358251786366E-4,0,399.99999999999994
0.0026307767328854537,0,3.3178062157187654E-4,400
0.003,0,0,199.99999999999997
8.726741765467114E-4,0.0028242316812395825,5.120109298356438E-4,183.3333333333333
4.17140829650915E-4,0.0028393398567288395,8.741525646185569E-4,181.8181818181818
8.578325992093582E-4,0.0026519325943054274,0.0011096741625333992,166.66666666666663
0.0012664862497825662,0.002572091153601677,8.833796899836925E-4,219.99999999999997
8.802850471152601E-4,0.0021106822990650145,9.16853953846841E-4,399.99999999999994
0.002941549904481729,0,5.892906387730892E-4,160
0.0027705879580108795,0,0.001150571567976071,133.33333333333331
0.0028184031755936734,5.318616371884835E-4,8.796173819853042E-4,271.4285714285714
0.0024992724033169964,5.619230780003853E-4,4.393969095549459E-4,399.99999999999994
0.0015831641780015065,0.0019391550306563112,0,399.99999999999994
0.0013349899297181744,0.001967262934880452,6.920036895454194E-4,399.9999999999999
0.00184237896764125,0.0015128810033287275,0,400
0.0020727744141117344,0.0014432937925199494,3.673940171860338E-4,399.9999999999999
0.0018985289543841633,0.0018428527385778697,2.8620998018931627E-4,399.99999999999994
0.002342684555330933,6.65517013505514E-4,0,399.9999999999999
0.0020115876410851576,0.0010708680936409479,5.881847860336688E-4,399.99999999999994
0.002254508401707709,0.0011081928207471255,0,399.99999999999994
0.0029415499044819914,5.892906387717796E-4,0,239.99999999999997
0.001150100255002768,0.0027707836292949544,0,199.99999999999994
0.001386223556716764,5.267125237381591E-4,0.002607864675964017,199.99999999999994
0.0026021576941826757,4.961756811073098E-4,0.0014080429780669336,181.8181818181818
0.0018329706397630602,5.568479575493515E-4,0.0023087093766734064,200
0.0016675281593220848,0,0.0024938599505223823,160
0.002121139919452403,0,0.0021215007522877995,199.99999999999994
0.0022691052788597925,5.136819072862791E-4,0.0018940148182042705,133.33333333333331
0.002493576287842595,0,0.0016679523425548054,199.99999999999994
5.327067365881158E-4,0.0018375104265874508,0.002310796175558555,200
0.0015038611144893004,0.001062346796111818,0.002368506076225679,171.4285714285714
0.0019410631271360441,0.0010271597442244509,0.0020438240619773526,218.18181818181816
0.0014148879118437074,0.0010750239475461067,0.0018952356178057559,399.99999999999994
0.0014116651111975025,0.0020036200604637826,0.0017299445849896032,249.99999999999997
0.0010216795845620422,0.0017547565835454252,0.0016255675201020997,399.9999999999999
0.0014217335950385914,0.0014355350539625557,0.0014617417758418677,399.99999999999994
